in,Zipcode,date,close
347,60606,2010-12-31 00:00:00,378509.75
348,60606,2011-01-31 00:00:00,361145.2
349,60606,2011-02-28 00:00:00,350273.25
350,60606,2011-03-31 00:00:00,346436.25
351,60606,2011-04-30 00:00:00,358316.2
352,60606,2011-05-31 00:00:00,376080.25
353,60606,2011-06-30 00:00:00,387585.0
354,60606,2011-07-31 00:00:00,386302.6
355,60606,2011-08-31 00:00:00,387023.5
356,60606,2011-09-30 00:00:00,383051.75
357,60606,2011-10-31 00:00:00,389092.6
358,60606,2011-11-30 00:00:00,397186.5
359,60606,2011-12-31 00:00:00,412976.4
360,60606,2012-01-31 00:00:00,486553.75
361,60606,2012-02-29 00:00:00,516548.5
362,60606,2012-03-31 00:00:00,525802.8
363,60606,2012-04-30 00:00:00,517149.5
364,60606,2012-05-31 00:00:00,517332.5
365,60606,2012-06-30 00:00:00,503759.8
366,60606,2012-07-31 00:00:00,512240.0
367,60606,2012-08-31 00:00:00,528299.75
368,60606,2012-09-30 00:00:00,519465.8
369,60606,2012-10-31 00:00:00,529360.5
370,60606,2012-11-30 00:00:00,523032.0
371,60606,2012-12-31 00:00:00,407301.4
372,60606,2013-01-31 00:00:00,402708.75
373,60606,2013-02-28 00:00:00,380493.5
374,60606,2013-03-31 00:00:00,390212.0
375,60606,2013-04-30 00:00:00,418553.75
376,60606,2013-05-31 00:00:00,415947.5
377,60606,2013-06-30 00:00:00,420203.6
378,60606,2013-07-31 00:00:00,430195.0
379,60606,2013-08-31 00:00:00,417554.0
380,60606,2013-09-30 00:00:00,431935.75
381,60606,2013-10-31 00:00:00,433843.0
382,60606,2013-11-30 00:00:00,428346.4
383,60606,2013-12-31 00:00:00,440755.0
384,60606,2014-01-31 00:00:00,418634.0
385,60606,2014-02-28 00:00:00,417050.75
386,60606,2014-03-31 00:00:00,431159.4
387,60606,2014-04-30 00:00:00,474678.5
388,60606,2014-05-31 00:00:00,441702.4
389,60606,2014-06-30 00:00:00,368674.5
390,60606,2014-07-31 00:00:00,360680.25
391,60606,2014-08-31 00:00:00,385258.4
392,60606,2014-09-30 00:00:00,415533.5
393,60606,2014-10-31 00:00:00,396212.25
394,60606,2014-11-30 00:00:00,380414.2
395,60606,2014-12-31 00:00:00,382192.25
396,60607,2009-07-31 00:00:00,376319.0
397,60607,2009-08-31 00:00:00,373335.2
398,60607,2009-09-30 00:00:00,372942.25
399,60607,2009-10-31 00:00:00,368018.4
400,60607,2009-11-30 00:00:00,367116.5
401,60607,2009-12-31 00:00:00,359553.75
402,60607,2010-01-31 00:00:00,363394.0
403,60607,2010-02-28 00:00:00,367545.5
404,60607,2010-03-31 00:00:00,366064.5
405,60607,2010-04-30 00:00:00,364439.75
406,60607,2010-05-31 00:00:00,365664.0
407,60607,2010-06-30 00:00:00,361102.0
408,60607,2010-07-31 00:00:00,351888.6
409,60607,2010-08-31 00:00:00,351061.0
410,60607,2010-09-30 00:00:00,351486.75
411,60607,2010-10-31 00:00:00,341822.2
412,60607,2010-11-30 00:00:00,351067.0
413,60607,2010-12-31 00:00:00,344431.5
414,60607,2011-01-31 00:00:00,338511.4
415,60607,2011-02-28 00:00:00,334262.25
416,60607,2011-03-31 00:00:00,331557.0
417,60607,2011-04-30 00:00:00,332732.6
418,60607,2011-05-31 00:00:00,341131.5
419,60607,2011-06-30 00:00:00,329325.25
420,60607,2011-07-31 00:00:00,333051.6
421,60607,2011-08-31 00:00:00,332581.25
422,60607,2011-09-30 00:00:00,323539.0
423,60607,2011-10-31 00:00:00,328805.4
424,60607,2011-11-30 00:00:00,332679.0
425,60607,2011-12-31 00:00:00,331815.4
426,60607,2012-01-31 00:00:00,337369.75
427,60607,2012-02-29 00:00:00,321069.5
428,60607,2012-03-31 00:00:00,321247.0
429,60607,2012-04-30 00:00:00,332234.25
430,60607,2012-05-31 00:00:00,321843.5
431,60607,2012-06-30 00:00:00,330999.6
432,60607,2012-07-31 00:00:00,335027.25
433,60607,2012-08-31 00:00:00,345610.75
434,60607,2012-09-30 00:00:00,338560.6
435,60607,2012-10-31 00:00:00,329485.5
436,60607,2012-11-30 00:00:00,324979.5
437,60607,2012-12-31 00:00:00,327863.4
438,60607,2013-01-31 00:00:00,311303.25
439,60607,2013-02-28 00:00:00,322420.75
440,60607,2013-03-31 00:00:00,352699.2
441,60607,2013-04-30 00:00:00,339392.25
442,60607,2013-05-31 00:00:00,357701.5
443,60607,2013-06-30 00:00:00,354151.6
444,60607,2013-07-31 00:00:00,355193.5
445,60607,2013-08-31 00:00:00,335853.6
446,60607,2013-09-30 00:00:00,347969.5
447,60607,2013-10-31 00:00:00,357458.0
448,60607,2013-11-30 00:00:00,344616.6
449,60607,2013-12-31 00:00:00,350220.5
450,60607,2014-01-31 00:00:00,361634.75
451,60607,2014-02-28 00:00:00,377840.75
452,60607,2014-03-31 00:00:00,354395.2
453,60607,2014-04-30 00:00:00,367485.5
454,60607,2014-05-31 00:00:00,362637.8
455,60607,2014-06-30 00:00:00,367854.25
456,60607,2014-07-31 00:00:00,377551.5
457,60607,2014-08-31 00:00:00,374960.6
458,60607,2014-09-30 00:00:00,367184.5
459,60607,2014-10-31 00:00:00,393842.0
460,60607,2014-11-30 00:00:00,376700.6
461,60607,2014-12-31 00:00:00,360155.75
462,60608,2009-07-31 00:00:00,305967.25
463,60608,2009-08-31 00:00:00,301573.0
464,60608,2009-09-30 00:00:00,296453.25
465,60608,2009-10-31 00:00:00,293031.8
466,60608,2009-11-30 00:00:00,293482.5
467,60608,2009-12-31 00:00:00,302049.0
468,60608,2010-01-31 00:00:00,292832.2
469,60608,2010-02-28 00:00:00,283524.5
470,60608,2010-03-31 00:00:00,277507.5
471,60608,2010-04-30 00:00:00,283612.25
472,60608,2010-05-31 00:00:00,270321.0
473,60608,2010-06-30 00:00:00,264548.5
474,60608,2010-07-31 00:00:00,265753.4
475,60608,2010-08-31 00:00:00,266948.75
476,60608,2010-09-30 00:00:00,268815.0
477,60608,2010-10-31 00:00:00,251375.0
478,60608,2010-11-30 00:00:00,241858.25
479,60608,2010-12-31 00:00:00,233927.5
480,60608,2011-01-31 00:00:00,235755.8
481,60608,2011-02-28 00:00:00,238078.25
482,60608,2011-03-31 00:00:00,247083.25
483,60608,2011-04-30 00:00:00,243716.4
484,60608,2011-05-31 00:00:00,250404.75
485,60608,2011-06-30 00:00:00,261111.0
486,60608,2011-07-31 00:00:00,242011.4
487,60608,2011-08-31 00:00:00,232909.25
488,60608,2011-09-30 00:00:00,222763.0
489,60608,2011-10-31 00:00:00,219469.8
490,60608,2011-11-30 00:00:00,209751.75
491,60608,2011-12-31 00:00:00,224080.4
492,60608,2012-01-31 00:00:00,222602.75
493,60608,2012-02-29 00:00:00,224900.5
494,60608,2012-03-31 00:00:00,216925.6
495,60608,2012-04-30 00:00:00,206115.5
496,60608,2012-05-31 00:00:00,197359.75
497,60608,2012-06-30 00:00:00,198729.0
498,60608,2012-07-31 00:00:00,199960.25
499,60608,2012-08-31 00:00:00,208290.25
500,60608,2012-09-30 00:00:00,213341.2
501,60608,2012-10-31 00:00:00,213244.0
502,60608,2012-11-30 00:00:00,221420.0
503,60608,2012-12-31 00:00:00,214638.2
504,60608,2013-01-31 00:00:00,220035.25
505,60608,2013-02-28 00:00:00,216431.25
506,60608,2013-03-31 00:00:00,214517.6
507,60608,2013-04-30 00:00:00,207754.75
508,60608,2013-05-31 00:00:00,207018.75
509,60608,2013-06-30 00:00:00,260461.6
510,60608,2013-07-31 00:00:00,250031.5
511,60608,2013-08-31 00:00:00,228704.4
512,60608,2013-09-30 00:00:00,242125.25
513,60608,2013-10-31 00:00:00,248213.25
514,60608,2013-11-30 00:00:00,244798.4
515,60608,2013-12-31 00:00:00,225482.5
516,60608,2014-01-31 00:00:00,237089.75
517,60608,2014-02-28 00:00:00,241311.75
518,60608,2014-03-31 00:00:00,230270.2
519,60608,2014-04-30 00:00:00,236769.75
520,60608,2014-05-31 00:00:00,231399.2
521,60608,2014-06-30 00:00:00,234203.75
522,60608,2014-07-31 00:00:00,242784.75
523,60608,2014-08-31 00:00:00,254350.6
524,60608,2014-09-30 00:00:00,243602.0
525,60608,2014-10-31 00:00:00,259142.75
526,60608,2014-11-30 00:00:00,269446.0
527,60608,2014-12-31 00:00:00,256138.75
528,60609,2009-07-31 00:00:00,239655.25
529,60609,2009-08-31 00:00:00,227720.4
530,60609,2009-09-30 00:00:00,229099.25
531,60609,2009-10-31 00:00:00,231952.2
532,60609,2009-11-30 00:00:00,222237.5
533,60609,2009-12-31 00:00:00,223644.5
534,60609,2010-01-31 00:00:00,229646.8
535,60609,2010-02-28 00:00:00,234555.25
536,60609,2010-03-31 00:00:00,249946.75
537,60609,2010-04-30 00:00:00,253886.25
538,60609,2010-05-31 00:00:00,241543.6
539,60609,2010-06-30 00:00:00,219532.75
540,60609,2010-07-31 00:00:00,202294.2
541,60609,2010-08-31 00:00:00,207405.5
542,60609,2010-09-30 00:00:00,202427.0
543,60609,2010-10-31 00:00:00,168340.4
544,60609,2010-11-30 00:00:00,173489.0
545,60609,2010-12-31 00:00:00,168185.75
546,60609,2011-01-31 00:00:00,169971.6
547,60609,2011-02-28 00:00:00,157613.25
548,60609,2011-03-31 00:00:00,164779.75
549,60609,2011-04-30 00:00:00,169018.8
550,60609,2011-05-31 00:00:00,178304.25
551,60609,2011-06-30 00:00:00,168166.25
552,60609,2011-07-31 00:00:00,149247.2
553,60609,2011-08-31 00:00:00,156680.75
554,60609,2011-09-30 00:00:00,150130.5
555,60609,2011-10-31 00:00:00,154579.4
556,60609,2011-11-30 00:00:00,155699.75
557,60609,2011-12-31 00:00:00,133155.0
558,60609,2012-01-31 00:00:00,118548.25
559,60609,2012-02-29 00:00:00,115297.5
560,60609,2012-03-31 00:00:00,107353.6
561,60609,2012-04-30 00:00:00,130702.75
562,60609,2012-05-31 00:00:00,123049.25
563,60609,2012-06-30 00:00:00,117880.4
564,60609,2012-07-31 00:00:00,119809.75
565,60609,2012-08-31 00:00:00,97681.75
566,60609,2012-09-30 00:00:00,113972.8
567,60609,2012-10-31 00:00:00,143284.0
568,60609,2012-11-30 00:00:00,154766.25
569,60609,2012-12-31 00:00:00,165501.2
570,60609,2013-01-31 00:00:00,151818.0
571,60609,2013-02-28 00:00:00,165789.25
572,60609,2013-03-31 00:00:00,172155.4
573,60609,2013-04-30 00:00:00,141395.75
574,60609,2013-05-31 00:00:00,125122.75
575,60609,2013-06-30 00:00:00,139803.0
576,60609,2013-07-31 00:00:00,141174.75
577,60609,2013-08-31 00:00:00,143505.8
578,60609,2013-09-30 00:00:00,118829.75
579,60609,2013-10-31 00:00:00,156653.25
580,60609,2013-11-30 00:00:00,142280.6
581,60609,2013-12-31 00:00:00,124057.5
582,60609,2014-01-31 00:00:00,142463.25
583,60609,2014-02-28 00:00:00,166190.25
584,60609,2014-03-31 00:00:00,148040.4
585,60609,2014-04-30 00:00:00,146235.0
586,60609,2014-05-31 00:00:00,128436.2
587,60609,2014-06-30 00:00:00,161832.5
588,60609,2014-07-31 00:00:00,173742.5
589,60609,2014-08-31 00:00:00,164797.6
590,60609,2014-09-30 00:00:00,165354.75
591,60609,2014-10-31 00:00:00,186010.25
592,60609,2014-11-30 00:00:00,219951.4
593,60609,2014-12-31 00:00:00,224023.75
594,60610,2009-07-31 00:00:00,567840.0
595,60610,2009-08-31 00:00:00,557871.8
